shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
abī́ndṓr	abindor													жена человека, имеющего несколько жен	tu-t abī́ndṓr yō nāy? — wuz-um abī́ndṓr у твоего мужа есть еще жены? — да, есть	
ablā́	abla													глупец, глупый; дурак, дурень		
ablagí	ablagi													глупость, дурость		
abṓz	aboz,aboxt,abezd,aboxč,abextow			abṓx̌t			abêzd	abṓx̌č			abêx̌tṓw			глотать		
abrát 	abrat 													обман		
abrát δêdṓw	abrat δedow													обманывать	abrát-i mu δōd он меня обманул	
ábri	abri													облако, туча		
abridáx	abridax													облачный, пасмурный	nur abridáx сегодня облачно; wuz ik-mi abridáx-and tar kā sā́wum? куда я пойду, когда так пасмурно?	
abūbā́k	abubak													удод		
ač	ač													сколько-нибудь, несколько, кое-что	yu-ta ač as tu xabardōri kix̌t? он иногда о тебе осведомляется? (он сколько-нибудь тобой интересуется?)	
ač-ga	ač-ga													что-нибудь, кое-что; иногда; больше не… , совсем не…	ač-ga-ta vīrt? он иногда приносит что-нибудь? ač-ga-na vīrt больше совсем не приносит	
ačaθ	ačaθ,aččaθ	aččaθ												ничто, ничего, вовсе не… , совсем не… 	ačaθ-um xu dōd na wīnt я совсем не видел своего отца	
ād	ad													граница		
ād	ad													договор, обязательство	mu ād pur sut мое обязательство выполнено	
ād čīdṓw	ad čidow													заключить договор, договориться, обязаться		
adáb	adab													благонравие, вежливость, учтивость		
adā́x̌c	adaxc													железная деталь движущего устройства мельницы, в форме короткого бруска с отверстием посередине		
ádli	adli,alli,ali	álli, áli												как раз, прямо	ádli wam cēm-and-um δod я ударил её прямо в глаз; ádli wam cēm-and angixt попало ей прямо в глаз; álli ik-důnd-důnd как раз вот столько	
adōlat	adolat													справедливость		
ā́dris	adris													адрес		
afáγ̌ 	afaγ̌ 													послезавтра		
aflaqā́	aflaqa													слишком широкий, просторный, болтающийся (о кольцах, наперстке, обуви, воротнике и т. п.)	yam čillā mu angíx̌t-ard aflaqā́ это кольцо слишком широко для моего пальца	
aflṓq	afloq													на босу ногу, без чулок	mu pêx murd aflṓq у меня сапоги на босу ногу	
afsū́s	afsus													о горе! увы!		
aftā́	afta													неделя		
aftamubī́l	aftamubil													автомобиль		(нов.)
aftayí	aftayi													недельный		
afyū́n	afyun													опий		
afyūní	afyuni													опиист		
agá	aga,agar	agár												если		
agā́	aga													пробужденный, проснувшийся, бодрствующий		
agā́ čīdṓw	aga čidow													будить		
agā sittṓw	aga sittow													проснуться		 (нов.)
aga-či	aga-či													побудка	tu aga-či murd xuš na yat мне не понравилось, как ты меня будишь	
agar ca	agar ca													если		
agranů́m	agranum													агроном		
āǰ	aj													паломничество	ba (h)aǰ sittōw отправляться в паломничество	
aǰáb	ajab													удивительный, удивительно	tu-t aǰáb bēáqli! какой ты глупый! núr-um sut pi pux̌tā́ didi, pádam ik-dů́nd lap wūrǰ yast, yu dalī́laθ nay! māš vazḗn ca na xēn aǰáb-i! я сегодня ходил на горы, там столько волков, что мочи нет! удивительно будет, если они не поедят наших коз; pōygā́ diwḗnt-and mu vōrǰ pirṓ ca na δēd aǰáb-i удивительно, если на скачках моя лошадь не будет впереди	
aǰál	ajal													смерть, кончина	aǰál ca yōδd, yíčê-θ na pēx̌st смерть придет, ни о чем не спросит	
aǰinā́	ajina													злой дух, джин		
aǰōyíb	ajoyib													удивительный, интересный	xabári aǰōyíb ca vēd, wuz vō turd nivíšum если будут интересные новости, я опять тебе напишу	
akák	akak													дрожь (от холода, от страха)		
akák čīdṓw	akak čidow													дрожать		
akī́m	akim													врач		
aks	aks													страх		
aks čīdṓw	aks čidow													бояться, пугаться	falůní áks-i čūd xu, wi yếv-ard x̌ōǰ-δūyǰ rů́y-i δōδǰ такой-то испугался, и у него около рта появилась сыпь; „aks čīdṓw“ gā waxt „x̌ōǰ δêrt“ ǰṓy-tīr lů́vēn иногда говорят „aks čīdṓw“, вместо „x̌ōǰ δêrt“	
āl	al													мягкий, размягченный,размягчение	di šarθk āldí kin, yid pi dēwṓl na niðáfst разомни помягче глину, она не пристает к стене; as šīg γáθ-um di āldí čūγ̌ǰ я это сделал мягче, чем испражнения теленка (= наилучшим образом)	
āl sitṓw	al sitow													размягчаться (о глине)		
al-amdu-l-illō	al-amdu-l-illo													слава богу!		
ā́l-at-awṓl	al-at-awol,ol-at-awol,ol-awol	ōl-at-awṓl, ōl-awṓl												положение, состояние, обстоятельства		
alā	ala													говорят, будто (бы), де, дескать, мол	yu alā ar tāx δōd он будто бы разбился в горах; yu alá mūd говорят, он умер; falůní alá (= nālá) yaθč говорят, такой-то приехал (= as falůni-ta lů́vēn yu yaθč)	
aláf	alaf													трава, сено		
alafzṓr	alafzor													луг, поле		
alaláš	alalaš													смесь, смешение	беспорядок, ералаш, хаос	
alaláš čīdṓw	alalaš čidow													смешивать, перемешивать, примешивать		
alám	alam													печаль, горе	wird alám yat xu, bād dar nīwd sut ему взгрустнулось, и он принялся плакать	
alamí	alami													печальный, удрученный	mu dōd mūγ̌ǰ xu, wúz-um lap alamếθ  y меня умер отец, и я очень горюю; a-rō, tu pi di mā raf, yid alamḗθ ты не трогай его, он очень удручен	
albát	albat													наверное, вероятно, должно быть	ik-tā́m wird albát panǰṓ sōl súδǰat должно быть, ему уже исполнилось пятьдесят лет.	
albáttā	albatta													конечно, несомненно		
ā́li xalq	ali xalq													народ, общество	ali xalq nīstōw быть окруженным большим обществом, свитой (=xalq dar mobēn nīstōw)	
alíf	alif													алиф (название первой буквы арабск. алфавита); черта, прямая линия		
alifbế	alifbe													букварь, азбука, алфавит		
allā́	alla													пестрый (о лошади)	vōrǰ didi safḗd vēd, ā wi dā́m-va têr ca vēd, wí-ta allā́ lů́vēn если лошадь белая, а на спине черные пятна, ее называют „alla“	
allṓz	alloz,aloz	alṓz												прыжок, скачок		
allṓz čīdṓw	alloz čidow													прыгнуть	wam wêδ tar-tīr ́ik-dů́nd xax̌ alṓz čūd didi... он с такой силой перепрыгнул через арык, что..	
almastí	almasti													злой дух, альмастэ		
almṓs	almos													алмаз, бриллиант		
alō-áwli	alo-awli													как не стыдно! какой стыд!		
alō-áwli čīdṓw	alo-awli čidow													стыдиться, стесняться (своего дурного поведения)	alō-áwli kinḗt! постыдитесь! побойтесь бога! (воздержитесь от постыдного поступка!)	
alṓk	alok													гибель, погибель, уничтожение		
alṓk čīdṓw	alok čidow													губить		
alṓk sittṓw	alok sittow													гибнуть		
alōkát	alokat													гибель, погибель		
alṓl	alol													правдивый, честный, праведный, добросовестный; разрешенный, допущенный, законный		
alṓl čīdṓw	alol čidow													зарезать животное (особенно искалеченное или больное) так, чтобы оно было пригодно в пищу		
alōlkṓr	alolkor													добросовестный, честный		
alōqā́	aloqa													пара подков		
alōqā́	aloqa													связь, отношение		
aloqā́ čīdṓw	aloqa čidow													подковывать на две ноги	xu vōrǰ alōqā́ kinum я подковываю свою лошадь на две ноги.	
alṓw	alow													огонь		
alōwā́	alowa													прибавление, добавление		
alōyíd	aloyid,aloyida	alōyidā́												отдельный, особый, отделенный		
alōyíd čīdṓw	aloyid čidow													отделять, группировать, выделять		
alōyíd sittṓw	aloyid sittow													отделиться, выделиться, разделиться		
alqā́	alqa													петля, кольцо, завиток, круг; силок		
alqā́ čīdṓw	alqa čidow													натягивать (лук)	mu cankamůnák ́ik-dů́nd  γullā́ didi, ʒulik ōdám wam alqā́ čīdṓw na vār-δēd мой лук так велик, что маленький человек его не сможет натянуть	
alqanǰak	alqanjak													мертвая петля (способ завязывания)		
alqissā́	alqissa													итак, наконец, короче говоря, словом	alqissā́ kitōbí gāp, āmmo māš mis ba ǰṓyi xêr alqissā́ lůvām alqissā́ книжное слово, но мы также говорим „alqissā́“ вместо „xêr“	
altṓy	altoy													помесь волка и собаки	mu kid altṓy kud-búc-i vūd моя сука принесла щенка от волка	
ālů́n	alun													объявление		
ālů́n čīdṓw	alun čidow													объявлять		
alwṓ	alwo													кисель		
alwů́n	alwun													пунцовый, красный ситец, кумач		
alyṓk	alyok													сыр		(=тадж. панир)
alγ̌anǰṓl	alγ̌anjol													слива		
alγṓw	alγow													супряга	yi x̌īǰ mund vid atā yí-ga x̌īǰ mu amsōyā́-nd vid, daδ qatếθ wēv qatī́r čêríʒ kinā́m, ik-wí-ta alγṓw lů́vēn один бык был у меня, другой у моего соседа, и вот мы пашем на них вместе, это и называют alγṓw	 соединение двух или нескольких быков, принадлежащих разным хозяевам, для совместной пахоты или молотьбы
alγōwdák	alγowdak													род коршуна		
ām	am													и... и, как... так и		
am-digár	am-digar													взаимно, друг друга, один другого		
am-digár	am-digar,yak-digar	yak-digár												друг друга, взаимно		
ā́m-ga	am-ga													а также, тоже	γ̌inikḗn-ēn mis ōzṓd čū́d-at ā́m-ga tar maktáb-ēn wēv jalb čūd женщин тоже освободили и привлекли их в школы	
am-ǰíns	am-jins													сверстник		
am-nů́m	am-num													одноименный, тезка	mā́š-ām am-nů́m: wi nům mu nům tīr мы тезки: его имя такое же, как мое	
am-radī́f	am-radif													сверстник, ровесник	mu am-radī́f yi yṓraθ yů́dard nist у меня здесь нет сверстников; mu am-radī́f ōdamḗn-ēn γal ǰiwů́n, ā wúz-um pīr suδǰ мои сверстники еще молоды, а я уже состарился	
am-sabā́q	am-sabaq													одноклассник, товарищ по школе		
am-tán	am-tan													ровня, одной величины, одного роста	δu nafár-and di wēv qād barōbár vud, wḗv-ta am-tán lů́vēn если два человека одинакового роста, то их называют „am- tán“	
amā́	ama													тетка		сестра отца
amagí	amagi													всё, все, всего; целиком, полностью	amagí yi wiδếd farq разница всего только в одну четверть; māš amagí yi fānd tīr as wi xu virṓd zīnā́m мы только какой-нибудь хитростью сможем убить своего брата (из сказки)	
amak	amak													дядя		брат отца
amal	amal													март; знак Овна		
amal	amal													чин, должность, занятие		
amaldṓr	amaldor													чиновник, должностное лицо		
āmáq	amaq													дурень, глупец, дурак		
ambax̌c	ambaxc,anbaxc	anbax̌c												арча, древовидный можжевельник; ель, елка		
ambax̌cín	ambaxcin,anbaxcin	anbax̌cín												арчевый, еловый	yam mu mōθ ambax̌cín эта моя палка еловая	
ambṓǰ	amboj													замена, замещение; вместо	wuz sā́wum, tu ambṓǰ kōr kinum я пойду поработаю вместо тебя	
ambṓr	ambor,anbor	anbṓr												зерно и мука, находящиеся в закромах	anbṓr yā́nen они мелют зерно (из закромов)	
ambůn	ambun,anbun	anbů́n												амбан, мера зерна, около 80 кг		(=4 kāfč)
ambúr	ambur,anbur	anbúr												щипцы, клещи		
amdṓd	amdod													помощь	a-rō yádēt, xu amsōyā́-rad amdṓd firếpūm, lāk, yu mis xu xōǰ māš qa- tī́r tayṓr kix̌t давайте поможем соседу, пусть он тоже вместе с нами окончит молотьбу. 	 (= yōrí)
amēx̌ā́	amexa													всегда		
amī́r	amir													эмир		
āmiyát	amiyat													 значение, важность		(нов.)
amkōniyát	amkoniyat													возможность		
amlā́	amla													нападение, натиск, атака; размах, взмах		
amlā́ čīdṓw	amla čidow													нападать, бросаться	yu wūrǰ mu tīr amlā́ čūd волк бросился на меня	
amlā́ δêdṓw	amla δedow													взмахивать руками при плавании	δiyůn amlā́ δêdṓw-ti-yi as x̌ač xu ziwṓst двумя взмахами он выбрался из воды	
amlṓ	amlo													орфография, правописание		
ámmō	ammo,amo	ámō												но, однако, все-таки		
ammů́m	ammum,amum	amů́m												баня		
amṓč	amoč													мучная похлебка с мелкими клецками; клецки		
amōčḗǰ	amočej													мука для приготовления мелких клецок		
amōǰák	amojak													род кустарникового растения, зола которого употребляется при изготовлении жевательного табака (нас)		
amōrát	amorat													здание, строение		
amōrat-xůnā́	amorat-xuna													дворец		
amōyī́l	amoyil													перевязь, портупея, ремень или тесьма через плечо (для ружья или сабли)	amōyī́l wēδdṓw повесить на перевязи через плечо.	
amrṓ	amro,amroyen,amrogun											amrōyḗn	amrōgů́n	вместе, совместно; спутник, попутчик		
amrō sittṓw	amro sittow													присоединиться, соединиться		
amrōgí	amrogi,amroyi	amrōyí												совместность, сопутствие, сотрудничество		
amsōyā́	amsoya,amsoyagun											amsōyagů́n		сосед		
amsōyagí	amsoyagi													соседство, соседний	ik-dů́ndaθ-ta x̌iní as amsōyagí yḗl-and ́igů́n-ígů́n ́í-yōr pēx̌st слышно, как иногда из соседнего строения на летовье кто-нибудь спрашивает	
amů́n	amun													мир, безопасность		
amůnát	amunat													заем, ссуда; взаймы	mu čṓx̌t-i yōd amůnát xu, γál-i na vūγ̌ǰ он взял на время мои носилки и все еще не принес; yi cimū́d xund murd amůnát dāk xu, δīd-mīd zếzum dakṓ одолжи мне свою корзину, я начну носить навоз	
amwṓr	amwor													ровный, гладкий, плоский		
ancā́v	ancav,ancuvd,ancivd,ancuvj,ancivdow			ancū́vd			ancī́vd	ancū́vǰ			ancīvdṓw			шить		1 ед. ancā́vum, сокр. ancā́m;2 мн. ancā́vēt, сокр. ancḗt; 3 мн. ancā́vēn, сокр. ancḗn; пов. ancā́v, сокр. anca
ancāvī́ǰ	ancavij													шьющий, швец, швея		
ancāvíʒ	ancaviʒ													шитье		
ancāvíʒ čīdṓw	ancaviʒ čidow													заниматься шитьем, шить	yámand  γ̌inikḗn-at čōrikḗn ancāvíʒ kinḗn там женщины и мужчины занимаются шитьем	
andák	andak													немного	andák wáxt-and-aθ в короткое время	
andếγ	andeγ													твердый, неподвижный, окоченевший	andếγaθ mā niθ, kōr kin не сиди неподвижно, а поработай	
andíʒ, andíz	andiʒ,andiz,anduyd,andoyd,andizd,anduyj,andic,andoyj,andidow			andū́yd	āndṓyd		andī́zd	andū́yǰ	andī́c, andṓyǰ		andīdōw			вставать, подниматься	as xu ǰṓy-ti andīdṓw вставать с места	
andōzā́	andoza													мера, мерка, образец; выкройка		
andů́m	andum													тело, туловище, стан: орган тела	pibīzg — yi andů́m мочевой пузырь — это орган (тела)	
Andustů́n	Andustun													Индия		
andů́z	anduz,anduʒ,anduzd,anduzd,anduzj,anduzdow	andů́ʒ		andů́zd			andů́zd	andů́zǰ			andůzdṓw			будить, поднимать		
angáxc	angaxc,angaxt,angixt,angaxst,angaxč,angixč,angaxtow,angixtow			angáxt, angíxt			angáxst	angáxč, angíxč			angaxtṓw, angixtṓw			застревать, попадать, вонзаться; заикаться, запинаться	wuz γal wurusí ziv tīr angáxcum я еще запинаюсь, когда говорю по-русски	
angaxcī́ǰ	angaxcij													заика		
angíx̌t	angixt,anguxt	angúx̌t												палец	γāfc angíxt, xi-dā́r angíx̌t большой палец; δakī- ǰák angíx̌t указательный палец; miyůnā́ angíx̌t, miδēnā́ angíx̌t средний палец; pis-ʒalík angíx̌- taθ, pis-lakák angíx̌taθ безымянный палец; ʒalík angíx̌t, lakák angíx̌t мизинец	
angíx̌t-můk	angixt-muk													наперсток		
angix̌t-růn	angixt-run,anguxt-run	angúx̌t-růn												строительная глина (называемая так потому, что ее размазывают по стене пальцами)		
angū́rδ	angurδ													виноград		
anǰáfc	anjafc,anjuvd,anjafst			anǰū́vd			anǰáfst							приниматься, браться	di-nyō-ta šič anǰáfst! сейчас пойдет дождь!	
anǰā́n	anjan													захват — тальниковая длинная петля, прикрепляемая к рукоятке деревянной лопаты (fay), чтобы облегчить выбрасывание выкапываемой земли или снега		
anǰā́v	anjav,anjuvd,anjivd,anjivdow			anǰū́vd			anǰī́vd				anǰīvdṓw			держать, приобретать, овладевать, брать, ловить	pi Xōx̌darā́ yu sut γ̌in anǰī́vd он отправился жениться в Шахдару	1 ед. anǰā́vum, сокр. anǰā́m; 2 мн. anǰā́vēt, сокр. anǰḗt; 3 мн. anǰā́vēn, сокр. anǰḗn; пов. anǰā́v, сокр. anǰa
anǰinḗr	anjiner													инженер		(нов.)
anǰī́r	anjir													винная ягода, инжир, фига		
anǰūvǰín	anjuvjin													захваченный, пойманный		
anṓq	anoq													ровный, гладкий, без сучков (о дереве, палке)		
anṓr	anor													гранат		
anʒíc	anʒic													глиняное вместилище для хранения орехов, сушеных абрикосов и т. п. (обычно делается из старой маслобойки)	mā́š-ām xu paγ̌nī́ʒ xurd anʒíc čūd мы сделаем себе из маслобойки посудину для сухих абрикосов	
anʒů́m	anʒum,anʒem		anʒḗm											годовалый баран (до двух лет)		
aprḗl	aprel													апрель		(нов.)
aq	aq													истина, правда, справедливость; право, собственность	aq tu salů́m na vēd — luq- máyi xům tu kinúm если не будет твоего приветствия — растерзаю тебя	
aq δêdṓw	aq δedow													радеть, повторяя много раз слово „aq“;		
aq δêdṓw	aq δedow													расплачиваться, платить причитающееся	yu mu aq na δōd он со мной не расплатился	
aqếq	aqeq													большая бусина или медальон в центре ожерелья		
aqêqát	aqeqat,aqiqat	aqiqát												истина, правда, справедливость, действительность		
aqêqatán	aqeqatan,aqiqatan	aqiqatán												действительно, на самом деле, в действительности, поистине		
aqêqí	aqeqi,aqiqi	aqiqí												действительный, настоящий, истинный, подлинный		
áqi azōgí	aqi azogi													членский взнос		
aqilā́	aqila,aqla	aqlā́												трудный, опасный	yam půnd lápaθ aq(i)lā эта дорога очень трудная	
áqli	aqli													ум, разум, рассудок		
aqlidṓr	aqlidor													умный, рассудительный		
aqlī́m	aqlim													климатический пояс, зона		
aqṓb	aqob													орел		
aqōrát	aqorat													ругань, оскорбление, издевательство		
aqōrát čīdṓw	aqorat čidow													бранить, оскорблять, ругать		
aqōratgár	aqoratgar													оскорбитель, ругатель		
aqrṓr	aqror													признание, сознание		
aqrṓr yattṓw	aqror yattow													сознаваться	biyór-ard aqrṓr yat вчера он сознался	
aqsā́	aqsa													чиханье		
aqsā́ δêdṓw	aqsa δedow													чихать		
aqsaqṓl	aqsaqol													аксакал, сельский староста		
ar	ar													предлог, выражающий направление вниз, нахождение внизу	wuz ar x̌ac zibánum я прыгну в воду; wā́δ-en ar tagṓv xāvd они спустились вниз; māš ar tagṓv pi tamá níθam мы подождем вас внизу; ar tu xēz sā́wum пойду к тебе (вниз); ar Rix̌ůn lap gārm в Рушане очень жарко; ar xu čīd дома (внизу); ar kā? куда? где?	
ar-cůndca	ar-cundca,ar-cund	ar-cůnd												несмотря на.. сколько бы ни.		
ár-di	ar-di													как, как только, коль скоро, когда ни..	falůni ár-di qīmb mūn tīr wēδd atā, yā mūn ik-důnd razd didi! как только он бросил камнем в яблоню, яблоки как посыплются! ár-dī-m tar wi xēz ca yat, yu murd mêmůní čū́d-i когда только я ни приходил к нему, он меня угощал; ár-di pōyga-di- wḗnt sůd atā, mu vōrǰ pirṓ δēd когда бывают скачки, моя лошадь идет впереди	
ar-gůn	ar-gun													как только, коль скоро	ar-gůn ar-tām vō murd xāt ca kix̌t... как только кто-нибудь мне опять напишет...	
ar-ǰṓ	ar-jo													везде, повсюду, повсеместно, где бы ни.		
ar-mḗθ	ar-meθ,ar-meθ-aθ,ar-meθaki,ar-meθa	ar-mḗθ-aθ,ar-mēθaki,ar-mēθā												ежедневно, каждый день		
ar-rā́ng	ar-rang													всякого рода, всевозможный, какой бы ни.		
ar-rā́ng-ca	ar-rang-ca													как-то, что-то	yā γ̌iník ar-rā́ng-ca tar xu čōr bad čōst; ca mḗθ-ga as xu čōr ca na nax̌tī́zd, aǰáb-i та женщина что-то плохо относится к своему мужу; удивительно, если она через несколько дней не уйдет от него;yu γiδā ar-rā́ng-ca as x̌inōwarí na yat, či x̌ác-ga sůd xu ik-důnd! тот мальчишка что-то не возвращается с купанья, как бы он не утонул! nur ar-rāng-ca gāp δêd murd na fōrt сегодня мне как-то не хочется разговаривать	
ar-tān	ar-tan													всякий, каждый, кто бы ни..	ar-tān mu xāt ca x̌ōyd всякий, кто прочтет мое письмо	
ar-xēl	ar-xel													всякого рода, всевозможный, какой бы ни		
ar... ca	ar... ca													всякий, каждый, какой бы ни..., кто бы ни...		
ara-vī́r	ara-vir													все трое	falůní-nd-ēn aráy puc vad, ara-vī́r-ēn x̌ōyíʒ sat у такого-то было три сына, все трое уехали учиться	
arabí	arabi													по-арабски, арабский		
arakát	arakat													движение, стремление	деятельность	
arakát čīdṓw	arakat čidow													стараться, двигаться, стремиться		
arakatdṓr	arakatdor													деятельный, энергичный		
arám	aram													там внизу, туда вниз		
arā́q	araq													пот		
arā́q	araq													водка, спирт		
aráy	aray,ara	ará												три, трое		
arayí	arayi													трехдневка, третий день; по-три, по- трое;		
arayúm	arayum													третий		
arbí	arbi													военный, воинский		
arbṓb	arbob													помощник сельского старосты		
arēd	ared													здесь, сюда; там (внизу), туда (вниз) (о предметах среднего удаления)		
arf	arf													буква		
argíz	argiz													никогда		
arhár	arhar,arar	arár												тополь (пирамидальный)		
arīzā́	ariza													заявление, прошение, жалоба		
arī́žm	arižm													сажа		
armaní	armani													армянин		
armůn	armun													неисполнимое желание, тоска; увы!		
arōbā́	aroba													арба, телега, повозка		
arqā́	arqa													верхняя часть спины		
arrā́	arra													пила		
arrā́ ðêdṓw	arra ðedow													пилить		
arrā tīždṓw	arra tiždow													пилить		
arrā́ δêdṓw	arra δedow													пилить		
arrakax̌	arrakax,arra-tažij	arra-tāžī́ǰ												пильщик	a-rō, falůní puc lap bašā́nd arrakáx̌ сын такого-то очень хороший пильщик	
arrā́z	arraz,arruxt,arraxt,arrozd,arruxč,arrixc,arraxč,arrixtow			arrúx̌t	arráx̌t		arrōzd	arrux̌č	arrix̌c, arrax̌č		arrix̌tṓw			подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы	vōrǰḗn-ēn δêd sat xu, yak digár tṓr-ad-ēn arráx̌t лошади стали драться и вздыбились друг на дружку; pi wam ōlbōlí ců́nd-i arrúx̌t, wi qād padam na firī́pt он как ни старался дотянуться до вишен, его рост не позволял ему этого; pi wam qādík-um arrúx̌t я на нее устремился	 1 ед. arrā́zum
artḗl	artel													артель		(нов.)
arů́d	arud													здесь (внизу), сюда (вниз)		
arů́m	arum													запрещенный, поганый, греховный		
arům-zōdā́	arum-zoda													незаконнорожденный, внебрачный		
arwṓ	arwo,arwoyen,arwogun											arwōyḗn	arwōgů́n	дух, душа умершего		
arz	arz													заявление, доклад, жалоба		
arz(-at dōδ) čīdṓw	arz(-at doδ) čidow													жаловаться		
arzat dōδ	arzat doδ													жаловаться		
arzů́n	arzun													дешевый, доступный, нередкий		
arzůní	arzuni													дешевизна, доступность; изобилие	šič mā́š-and arzůní, fuk čī́zaθ yast сейчас у нас изобилие всё есть	
arγúnd	arγund													помесь яка (кутаса) и коровы		
arδůnǰák	arδunjak													веснушки		
arθ́m	arθ́m													снежная пыль, появляющаяся перед снежным обвалом		
as	as,az	az												предлог, выражающий удаление, отделение, причину, сравнение, отношение; объект; из, от, через, вследствие, чем	"as qabal- ǰōgā́-ndīr изнутри загона; as ōzō- dī́ mārū́m sitṓw быть лишенным свободы; as wí-yi lůd: „sifā́n pi dam nêx“ она сказала ему: „подымайся на эти нары""; tu virṓd yōδd, as wi lův, yú-ta turd piδṓ kix̌t твой брат придет, ты ему скажи, он и достанет тебе; mu yax as mu ǰāldí моя сестра моложе меня; as fuk bīdí самый лучший, лучше всех; as fuk kāmdí наименьший; меньше всего, минимум; x̌itúm as xōrpúx̌t-i wīnt xu, lů́d-i... заяц увидел ежа и сказал. ..; bōyḗn-ēn xu ukūmát wáxt- and as kōrgarḗn zulm ču капиталисты во время своего господства угнетали рабочих; civī́nc az ōdám žirī́γ̌d оса жалит людей; rimṓd pis amsōyagů́n as xu puc (он) послал своего сына за соседями; ik-dí-ǰāt as wi x̌ūʒ-xōrák lůvēn потому-то ее (эту птицу) и зовут буревестник; as xu dilsuz čāyík rinếst... (поэтич.) кто забывает свою милую...; as.. .-ti с (предлог): as xêx̌-ti с ветвей; в многочисленных сложениях и сочетаниях; "	
as bā́hri	as bahri													для, ради	as bā́hri xuδṓy ради бога	(поэтич.)
as bōbáti	as bobati													относительно, в отношении	ar bōbát-and-aθ во всех отношениях	
as dásti	as dasti,as dast	as dást												по причине, вследствие, для, ради		
as dāsti	as dasti													но причине, вследствие		
as ǰaháti	as jahati													для, ради, по причине		(поэтич.)
as kā	as ka													откуда		
as kā́laθ	as kalaθ													сначала		
as naw	as naw													снова, вновь		
as qāstá-kaθ	as qasta-kaθ													нарочно, вымышленно		
as qāstákaθ	as qastakaθ													нарочно, вымышленно	qiδā́ nī́wd-i xu, daδ wi nān  as qāstákaθ lů́di: „a-δa, mā nāw, ar-gůn ča nā́wi, kud tu pirḗnt“ мальчик заплакал, и его мать ему нарочно сказала: „не плачь, а то собака тебя укусит”	
as sabábi	as sababi													по причине		
as tīr	as tir													сверху		
as vaǰ	as vaj													снаружи		
as xusū́si	as xususi													относительно, в отношении, о, об		
as-bār čīdṓw	as-bar čidow													учить наизусть		
as-bārakí	as-baraki,as-bar	as-bār												наизусть, на память	yu ik-důnd lap sōz as-bār yast didi, dalī́l nay он знает так много песен, что мочи нет	
as-bārakí  lůvdṓw	as-baraki  luvdow													диктовать	núr-i māš ōxů́n mā́šard as-bārakí lůd сегодня наш учитель устраивал нам диктовку	
as-bārakí nivištṓw	as-baraki nivištow													писать под диктовку		
as-barṓyi	as-baroyi													для, ради, вследствие, по причине, чтобы		
as-bīr	as-bir													снизу		
