rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
асфальтировать	qир (асфāлт) ð. (ðāð)						
асфальтировать	qир (асфāлт) ð. (ðāð)						
атака	амлā, уjӯм				м		
атаковать	уjӯм ч. (кин)						
атакующий	уjӯмгāр						
атеизм	бе-хуðойи, бе-дӣни				м		
атеизм	бе-хуðойи, бе-дӣни				м		
атеист	бе-хуðой, бе-дӣн						
атлантический	атлāнтики						
атласный	qаноwеʒ						
атмосфера	аwо				м		
атом	атẏм				м		
аттестат	атистāт				ж		
афганец	аwɣẏн				м/ж		
афганский	аwɣẏни						
аханье	wай-wай						
ахинея	бе-мāниги				м		
аховый	фӣтӯк, фуц						
аэроплан	айрапилāн, кемā				ж		
аэропорт	айрапорт				ж		
баба	одамак, халмакӯв				м		
бабах	тирах(аст)						
бабка	кампӣр, сафедгāл				ж		
бабник	занакабоз, ошиqбоз				м		
бабочка	паwẏнā				м/ж		
бабушка	мӯм, кампӣр, сафе(д)-гāл				ж		
багаж	багāж				м		
багор	чунгак				м		
бадахшанец	бадахx̌и				м/ж		
бадахшанский	бадахшӯни						
бадахx̌и,	бадаx̌хи						
баджувец	баjӯwеj				м/ж		
база	бāз				ж		
базар	бозор				м/ж		
базарный	бозори(гари)						
бай	бой, тиwẏно						~ский сын бой-буц, бой-бачā
бак	бāк				ж		
баклажан	баqлажāн ж, бойинjẏн м/ж						
балагур	назӣргӯй, машлоти						
балованный	нозийẏн, пидфирāwj						
баловать	пишêwдоw (пишêw:пишêwт)						
баловень	нозийẏн						
банг	банг				ж		
бандаж	нофбāндак				м		
бандит	рāзан, босмач(и)				м		
бандит	рāзан, босмач(и)				м		
бандитизм	рāзани м, босмачиги/гари						
банка	качак				ж		
банкрот	муфлис						
банщик	ам(м)ẏмчи						
баня	а(м)мẏм, гарx̌ум				м		
барабанщик	таблзан, дāфзан						
бараний	минечанд, мӣɣ̌jанд	миwӣjанд					
баранина	минечанд, тẏхлийанд, jẏндоранд						
барвазец	барwêзи, барwêзеj				м/ж		
барс	палāнг				ж		
барсовый	палāнгин						~ая шкура палāнгбẏст
бартангец	бартангеj, бартанги				м/ж		
бархат	бахмал						
бархатный	бахмалин						
барыня	биби, кахой				ж		
барышня	бой-биц				ж		
басистый	ɣāфцаwоз						
басмач	босмач(и)						
басмачество	босмачиги				м		
бассейн	аwʒ, qẏл				ж		
баста	бāс, ави					межд.	
бастующий	корпарто				м/ж		
батрак	маздӯр, нотиwẏн, бечорā				м/ж		
батрачество	маздӯри, нотиwӯни				м		
батюшки	wай, wай-wай					межд.	
бах	дẏмбаст, qẏмбаст					межд.	
бахвал	аwохо, ката-гāп, ситоwаx̌гар						
бахрома	леx̌ā, пулк(а)к				м		
бачок	бẏнкā				м/ж		
башенка	тужмо, тӣжмо				ж		
башковитый	мāɣʒдор, серзен						
башня	тӯпхẏнā				ж		
баю-бай	ла(й)-лāй, лāй-лāй						
баюканье	дӣл-дӣл				м		
баюкать	ниx̌êб/птоw; дӣл-дӣл ч. (кин)						
бдительный	уx̌йор, wуx̌йор, бедор						
бега	пойгā(диwент)						
бегать	жоз: жêx̌тоw: жêx̌т, дапц ðêд(оw)						
бегающий	жозӣj, гурезẏн				м/ж		
беглец	гурезпо						
бегло	jāлдаθ, барраст, x̌аппаст						
бегом	цилулêх, жêx̌та-жêx̌т						
бегун	жозӣj						
бедно	камбаɣалwор, камбаɣалẏнā						
бедноватый	бешароит						
бедняцкий	камбаɣалẏнā						
бедро	биx̌тẏн				м		
без	бе						
без	конца уw-уw, туц-туц, сар-зибō						
без ремня	бе-мийенд, бе-тасмā, бекамар						
безалаберный	бетамӣз, бетартӣб, нокалйуɣи						
безбилетный	бебелāт						
безболезненный	бедāрð, бегизоф, бегузоф						
безбородый	бебẏн, кӯсā						
безбрачие	бӯйдоqи				м		
безвестный	бедарак						
безвинный	беайб, бе-гиwно						
безвкусный	бемаззā, белиззат						
безвластие	бесардори						
безвозвратно	x̌иqулдум						
безволосый	шилакгӣл						
безвредность	беɣаwẏни				м		
безвредный	бегизоф, безалал, безийẏн,беɣаwẏн						
безвременно	бемāйор, булфӣс(аθ)						
безвременный	бемāйор, булфӣс(аθ)						
безвыходно	барjойаки				м		
безвыходность	ноилоjи, беилоjи, бар-jойаки				м		
безвыходный	ноилоjи, беилоj				м		
безголовый	бекӣл, бекаллā						
безголосый	беаwоз, беоwоз						
безграмотность	бесаwоди				м		
безграмотный	бесаwод						
безгранично	беандозā, беāд(аθ)						
безграничный	беандозā, беканор, беад						
безгрешность	поки, беайби				м		
безгрешный	пок, беайб; фириx̌тā						
бездарность	кам(h)унари				м		
бездарный	кам(h)унар, ношуд, нолоиq						
бездельник	шум, лаwанд, балафтā, wāqм, тамбал						
безденежный	бепӯл, бепайсā, кампӯл						
безденежье	бепайсаги, бепӯли				м		
бездетный	бекӯдак, безирйот, бефарзанд, бебачā, бенасли						
бездомный	дарбадар, бемакẏн						
бездорожье	бепẏнди				м		
бездымный	беðуд						
безжалостность	беинсофи				м		
безжалостный	беинсоф, бемêр, берāм						
безжизненный	беjẙн						
беззаботно	беɣам-аθ, фориɣбол-аθ, бе-ɣулɣāш-аθ, wаллāмат						
беззаветный	фидокор(ẙнā)						
беззаконие	беqонӯни, ноqи				м		
беззаконный	беqонӯн						
беззастенчивость	бепарðаги				м		
беззастенчивый	беобрӯй, беоб, бепарðа						
беззащитность	беамдоди, бесарпарасти				м		
беззащитный	беамдод, бехоwанд, бесарпараст						
беззвучный	беаwоз, бесадо						
безземелье	безамӣни, камзамӣни				м		
безземельный	безамӣн						
беззлобный	бекӣн						
беззубие	беðиндẙни				м		
беззубый	беðиндẙн						
безлесый	камдарахт, беjингāл						
безлошадность	беwилоɣи, бе-ворjи				м		
безлошадный	беwилоɣ, беворj						
безлюдный	беодам, камāоли, хилwат						
безлюдье	беодами; бийāбẙн				м		
безмерный	беандозā, бе-ниx̌ẙн						
безмерный	беандозā, бениx̌ẙн						
безмолвно	хомӯx̌, хомӯш, тарайӯн, гẙл-аθ						
безмолвный	хомӯx̌, хомӯш, тарайӯн						
безмятежность	орẙмаx̌, тинjи, фирохзорðи				м		
безмятежный	тинj, фирохзорð, фирох-дил						
безмятежный	тинj, фирох-зорð, фирох-дил						
безнадежный	таwакали						
безнадзорность	беназорати, бепарwоги				м		
безнадзорный	нозорðθāw, wуx̌питêwj						
безнаказанно	бе-jазо						
безнаказанный	бе-jазо						
безногий	бе-поð, шут						
безобидный	бе-залал						
безоблачно	аwо, бе-абри						
безоблачный	аwо, бе-абри						
безобразие	ха/унукрӯйи, бе-тартӣби, бе-маз(з)аги						
безобразный	бадлаjӯбат, бадбашар, гандаjин, бадшакли						
безоговорочно	бе-йамат йу, бе-гуфтигӯй(-аθ), бе-чӯну чаро						
безопасный	бе-хатар, бе-хаwф						
безоружный	бе-цан, бейароq, бе-аслийā						
безоружный	бе-цан, бе-йароq, бе-аслийā						
безответственность	бе-масӯлийати				м		
безответственный	бемасӯлийат						
безошибочно	бе-хат(т)о, от(аθ)						
безошибочный	бе-хат(т)о, от(аθ)						
безразличный	бепарwо, шито-зорð, дилхунук, дилсард						
безрассудный	беақл						
безрезультатно/ый	бе-натӣjā, бе-фойдā, бе-самар						
безрезультатность	бе-фойдаги м, бе-натиjаги						
безрогий	кӣл, бе-хоx̌						
безродность	бегẙнаги, бе-аwлоди				м		
безродный	беqаwм, бе-хеx̌						
безропотный	йибол						
безудержно	дараwаθ, шир/лаппаст						
безудержный	бенухтā						
безукоризненно	бе-камбӯд						
безумие	ðеwингари, деwẙнаги				м		
безумно	бе-андеx̌ā						
безумный	калêwа						
безупречный	бе-камбӯд, бе-иллат						
безусый	бебирӯт, кӯсā						
безучастный	фоwā						
безызвестный	номāлум						
безымянный	бе-нẙм						
безысходность	Бе-илоjи, ноилоjи				м		
безысходный	бе-илоj, ноилоj						
беленький	сафедак						
белизна	сафеди, сафедеʒ				м		
белила	сафед рāнг						
белок	сафеди				м		
белолицый	сафебӣц						
белолобый	гулнêх					(о рогатом скоте)	
белохвостка	сипе-ðум						
белохвостый	сипе-ðум						
белье	луq (ат) пар, пӯx̌ок(ā)				м		
бензин	бир/нзӣн				м		
бережливо/ый	атйоткор, мунчараки, ба мунчар, тидорак-кун						
бережливость	атйот, мунчар(и)				м		
беременность	буɣузи, биɣузи				м		
береста	бирӯj				м		
бери	ма(р), зи (зêx̌тоw)						
берущий	зêзӣj						
бес	иблӣс, шейтẙн				м		
беседовать	гāп-ðêдоw (ðāð); муслāт ч. (кин)						
бесконечно	бениx̌ẙн, бенийоат						
бесконечный	беохир, бесāр, беад						
бесконтрольно	беназорат						
бесконтрольность	беназорати, бе-кантироли				м		
бескормица	бе-wоx̌и				м		
бескорыстие	беɣарази				м		
бескорыстно	беɣаразẙнā, бе-ɣаразаθ						
бескорыстный	беɣараз						
бескрайний	беохир, беад, ноанwор						
бескровный	бе-хӯн, бе-wихин, камхӯн						
бескультурье	саради, бемаданийати				м		
беспамятство	бе-wуx̌и, падрêфтāги				м		
беспартийность	бефирqаги, бе-партийаги				м		
беспартийный	бефирqа, бе-пāртийā						
беспечально/ый	беɣам(аθ), бе-ɣулɣāш(аθ)						
беспечно/ый	фориɣбол (аθ), беташ-wӣш(аθ), бе-парwо(йаθ)						
бесплановость	бепилāни, бе-наqшаги				м		
бесплановый	бепилāн, бе-наqшā(x̌ā)						
бесплатно/ый	муфти, муфтā/-аθ, бемузд-(аθ), бе-пӯл(аθ)						
бесплодие	бе-осили				ж		
бесплодная (о скоте)	фāрд						
бесплодный	беосил, бенасли, бесамар, бебāрā						
бесподобный	бемисли						
беспокоящийся	дилтāнг						
бесполезный	бефойдā, бе-удā, бе-манфи(й)ат						
беспомощность	бечораги, беамдоди				м		
беспомощный	бечорā, беамдод						
беспорядок	бетартӣби м, ишqилип, алɣаw-бозор						
беспорядочность	бетамӣзи, бе-тартӣби				м		
бесправие	бе-(h)уqӯqи				м		
беспредельно	бениx̌ẙн, бени(h)ойат						
беспредельный	беад, беканор, ноанwор						
беспрепятственно	бемам-ẙнийат(аθ), бе-дӣдāни, бе-машаq(q)ат(аθ)						
беспрепятственный	бемамẙнийат						
беспризорный	сабӣл(и)/мẙндā, сӯмкети, бесойиб, бекас(с)от						
беспринципность	бепирӣнципи				м		
беспристрастно	беɣараз(ẙнā)						
беспричинно	бесабаб(аθ)						
беспричинный	бесабаб						
бесприютный	бемакẙн, ɣуробот						
бессемянный	бе-дẙнā, бе-бара						
бессильный	суст, оjиз, шитāрт, бемаjол, бе-qуw(w)ат						
бесславие	беобрӯй(гари), беоби				м		
бесславность	бешарафи, бе-обрӯйи				м		
бесславный	бешараф, беобрӯй						
бесследно	шиqулдум, бе-ниx̌ẙн(аθ)						
бессловесный	бе-зив, безабẙн						
бессловестно	бе-зиви, бе-забẙни				м		
бессмысленный	бемāно, бемāни, ношарāт						
бессмысленный	бемāно, бе-мāни, ношарāт						
бессмыслица	бемāнӣги				м		
бессодержательный	бемазмӯн, пӯч						
бессознательность	бе-wуx̌и, мадwӯx̌и				м		
бессознательный	мадwӯx̌						
бессонный	бе-хӯðм, камхоб						
бесспорно	бе шарāт берӯн, атманд(аθ)						
бесстрашный	бе-x̌оj, бе-хӯн, шердил, зāрадор, бе-wихин						
бесстыдница	кӣл-карðā						
бесстыдный	бе x̌арм, беор						
бесталантность	беистедоди, беунари				м		
бесталантный	беистедод, беунар						
бестолковщина	шагалɣоw				м		
бестолку	пицӣцӯ						
бесхарактерность	сустиродаги				м		
бесхарактерность	сусти-родаги				м		
бесхарактерный	сустиродā, камфāм						
бесхвостый	бе-ðум						
бесхитростный	бечорā, бе-макри						
бесцветный	x̌ипêх, берāнг						
бесцельно	бемаqсад						
бесцельный	бемаqсад						
бесцеремонный	бефириx̌тā, бейибо, wистох						
бесчестный	беномӯс, ноинсоф, беор, беjад						
бесчисленный	бешумор, бе¬адад						
бесшумный	беаwоз						
бешеный	деwẙнā, wоймадор, jайӯн						
бешеный	деwẙнā, wой-мадор, jайӯн						
библиотека	китобхẙна, бублатек(а)				ж		
биджонец	биjẙнеʒ, биjẙнеj						
бидон	битẙн, филāг				ж		
билет	белат				ж		
бильярд	билийāрд						
бинокль	дӯрбӣн				м/ж		
бинт	бӣнт				м		
бинêст,	ди: дӣт; (перен.) пêw: пêwт						
бита	дасӯз						
битва	ðêд, jанг				м		
битком	тамбā, тапйā						
биток	саq(q)ā				ж		
бить	ди: дӣт, x̌еб: x̌ӣвд						
битье	лач, x̌абиз				м		
биться	дирамб:дирабт						
благовоние	ситирахм, бẙй				м		
благодарный	минатдор, шарафнок						
благодаря	бабаракат, бобаракат, нафасдор						
благодать	табруки				м		
благоденствие	офийати				м		
благодеяние	хайр, неки				м		
благожелатель	хайрихо						
благонравие	адаб, одоб				м		
благонравный	сатридор						
благопожелание	баракат-бāx̌				м		
благополучно/ый	салẙмат-(аθ), офийат(аθ), ба тандирусти						
благополучный	офийат, тинj						
благопристойный	порсо(йи)/ги						
благоразумный	аqлидор, хирадманд, тамӣздор, мāqӯл						
благородный	зотдор, аслидор, шарафнок						
благородство	jад, шарофат, jивẙн-марди						
благосклонность	хайрихойи, неки(гари)				м		
благословенный	нек, некбахт, баракатдор						
благосостояние	баракати, бойгари				м		
благотворитель	бечорапарwар, ɣамхор						
благоустроенный	обод						
благоустройство	ободи, бунаги				м		
бледнолицый	зӣр(д)-б/пӣц						
блеющий	бêɣӣj м/ж, бӯɣāн				ж		
блеять	б/wêɣ; бêɣд, wêɣ; wêɣд, буɣд						
ближе	пироди, qāрӣбди						
близкий	наздӣк, qарӣб						
близнецы	муj, пидем						
близость	наздӣки м, qарӣби				м		
блин	шипӣк, хамлапā				м		
блуд	зино				м		
блуждающий	оwорā, ушкелди, тора-wорā						
блюдце	лагандак, лаган(д)-биц						
боб	x̌āш				ж		
бобовый	маx̌ин, маx̌орjин, x̌āшин						
богара	лāлм				ж		
богарный	лāлми						
богато	брв. лонаθ						
богатырский	бодур, мут-зӯр						
богач	бой, сармойадор				м/ж		
богомол	ɣẙкак				ж		
бодание	хоx̌-ðёд				м		
бодливый	хоx̌-ðāðӣj, хоx̌зан, ðаðӣн						
бодрствование	бедори м, wуx̌йори						
бодрствующий	агā, бедор						
бодрый	тирахтā, бардам, раwx̌ан						
боец	аскар						
боже мой	йодло, тӯба-тахсӣр						
божеский	раббẙни						
бойкий	тāпц, тирахтā, чарс						
бойня	бойни				м/ж		
бок	пāли, тараф				м		
боком	чи-пāли(йāк), чи-паррā						
болван	лелā	йоwагāп					
более	беx̌(диди)						
болезненный	дāрðдор/манд, qисӯрин						
болезненный	дарðдор, касалманд						
болотистый	зāгин, зāгдор, шабари, шабарзор						
болото	зāг, шабар(и)				м		
болт	марwат				м		
болтать	лāq:лāqт, x̌иqāп: x̌иqāпт, зиɣāп: зиɣāпт						
болтаться	лаq:лаqт						
болтающийся	каx̌олā, афлаqā, алк						
болтливый	сергāп, пургӯй, лелā, лаqаси						
болтун	лẙвӣj, лелā, x̌ӯр-ðāðӣj, x̌урзан, килублуб						
больше	диборā, беx̌(дарди), беx̌диди, лап(ди), кẙпсāр						
большевик	балшаwӣк						
большевистский	болшаwӣки						
большеглазый	ката/ɣула/фирох-ʒем, халӣj						
большеголовый	ката-гӣл, шипӣк-гӣл				м		
большегубый	ката-шанд, пāлч-ɣêв						
большеногий	ката-поð						
большеносый	ката-нêʒ						
большеротый	ката-ɣêв						(перен.) x̌ила/кāфч-ɣêв
бомба	бẙмба/ā				м/ж		
бормотать	ɣурз:ɣурзд						
борода	бẙн				м		
бородатый	бẙнин, сер-бẙн, бẙндор, ката-бẙн, ɣулā-бẙн						
бороздка	пуцак м, арðāн ж						
борщ	борш м, карам-x̌арво				м		
борщевик	кирӯx̌				м		
борьба	муборизā				м		
ботаника	батāника				ж		
ботаника	батаника				ж		
ботанический	батāнически, батāники						
ботинок	бӯт				м.		
боты	бот(ий)ен						
бочка	талаw, бочка				ж		
боязливый	x̌оjиjин, писир-задā, ситāрɣин, буздил, гоw-тӯри						
боярышник (алтайский)	ɣиθц						
боярышниковый	ɣиθцин						
браво	офарӣн						
брак	нико				м		
бракодел	аррẙмкор, wерẙнкор						
бракосочетание	нико						осуществляющий ~ никогар
браслет	парðӣст				м		
братец	виродик м, виродjẙн				м		
братский	виродори						
братство	виродори				м		
бред	сирɣ, тāбак				м		
брезент	бирзент				ж/м		
бренный	фонӣ						
бренчанье	тирунг-тирунг(аст) м, тирангаст м/ж						
брешь	рахнā				м		
бригада	биргāт				м		
бригадир	биргāд/т						
бритва	тêɣ				ж		
брить	тêx̌тоw:тêx̌т						
бритье (головы)	кāлтêx̌т, сартироx̌и						
бровастый	вирẙɣ̌ин, сервирẙɣ̌	вираwин					
брод	пӯд				м/ж		
бродить	нêɣ̌доw, ноɣ̌: нêɣд						
бронза	биринj				м		
бронзовый	биринjин						
бронхит	саqаw, кêхак				м		
бросание	qẙпа-ðêд				м		
бросающий	сӣчзан, питêwӣj	патêwӣj					
бросок	сӣч, сикаwак				м		
брус	омурзā				м		
брусок	сāнjак, писен				ж		
бруцеллез	риx̌ен-дāрð, чоснудеj-дāрð				м		
брызгание	пурхак				м		
брысь	пиш						
брюки	патлẙн(ен) м, бирӯк(ен)				м		
брюшина	qӣч-парвор		qӣч-парwӣн		м		
бубен	дāф				ж		
бубенчик	ɣ̌ол, зангӯлā				м		
бублик	бӯблик				м		
бугай	ɣургоw				м		
бугристый	сер-wиðор, буq-буq, падвазā, ɣиɣ̌арак						
будущий	ойиндā, ойандā						
буйвол	гоwмеx̌				м/ж		
буйно/ый	бируш-май-май, ðêдгар, талотӯф, мор-ат маст						
буйство	хоx̌-ðêд м, ɣаwɣочӣд				м		
букашки	чихӯj, пахцак				ж		
буква	арф				ж		
букварь	алифбо, китоб				ж		
букет	гулдастā				м		
буксир	буксӣр				м		
булава	гурз, бизӣк				м		
булавка	сиʒак				ж		
булка	бӯлкā				м		
булочка	бӯлучка				м		
бултыхать	чилāп:чилāпт						
булыжник	биx̌кинд, бӯрj				ж		
бульдозер	булдозир				ж		
бум-бум	тум-тум м, там-там ж						
буниец	бунийеj						
бунтовшик	балwогар, фитнагар						
бурсок	бурсоq				м	(вид пряных булчек)	
бурчание	цут-цут м, цат-цат ж						
бусы	сифцен, гулбāнд						
бутылка	бӯтāл				м		
бутылочка	бӯталак, хеx̌абуц				м		
буфет	буфет				ж		
бухаться	пач(и)wарð:пачиwарθт						
бухгалтер	бугāлтер						
буян	хоx̌-ðāðӣj, хоx̌-зан				м/ж		
бывалый	wӣнчин						
бывший	кӣнā						
былой	пеx̌, пиродаки						
быстрее	jāлди, jалдарди						
быстренько	тезик-аθ, jалдикаθ						
быстрина	тезов						
быстроногий	даwанд, тездаw, сабукдаw						
быстроходный	сабукдаw						
быстрый	тирахтā, даwак, пурɣурӯр, чолок, jобук						
быт	майишат						
бычий	x̌ӣjанд, x̌аjанд						~я шкура x̌ӣjб/пẙст
бьющий	x̌ебӣj						
бюро	бӯйро, беwро м/ж						
бюрократизм	хāтбози				м		
бязь	сẙн				м		
бяка	ких(ак)				м		
вагон	wагẙн				м/ж		
важничание	ката-гāпи				м		
важность	āмийат, му(h)им				м		
важный	амийатдор, сарбаланд, катаjẙн, кинум-нокунум						
вазновдец	вазнêwд, вазнêwдеj						
вакса	вāкц, кирем				м		
валежник	хасхор						
валенок	пилук				м		
валик	пушак, wиðẙмчак				м		
валовой	фукаки, умӯми						
валун	килẙх-жӣр				м		
валяющийся	шипит, wêx̌чин						
ванна	вāна				ж		
варган	чāнг				ж		
варево	пицарӣʒ				ж		
вареный	wӣрвjин						~ горох боj
варенье	варен ж, шарбат м/ж						
варка зеленого гороха с шелухой	рибудеj						
вата	пахтā				м/ж		
ватный	пахтадор, пахтаин						
ваханец	wахеj						
вблизи	наздӣк, qарӣб						
вверху	тӣрӣн						
вводить	wеð:wеðд, бизӣн: бизӣд						
вдали	ðар-аθ						
вдвоем	варθаθ, варθтанā						
вдова	беwā				ж		
вдоволь	оростā, тӯдā						
вдоль арыка	wêðва						
вдосталь	фанāйи зор, лапаθ						
вдох	дāм, нафас				м		
вдохновение	илhẙм						
вдумчиво	ба тāмул, фикрẙни						
ведение	ихтийор						
ведро	чалак				ж		
вежливо	маданиwор						
вежливость	о/адоб, тамӣз				м		
вежливый	баадаб						
везде	ар-jо, фук-jо						
везение	риwоj, сурхрӯйги				м		
везение	хост, шиздā				м		
везир	wазӣр						
везучий	толидор, рисqдор, бийӣx̌ти						
велеть	римêдоw, рими: римод, гумор: гуморт						
великан	барзанги				м		
великий	бизург, кабӣр						
великоватый	афлаqā, ɣулларāнг						
великодушие	сахо сахиги				м		
великодушный	сахи, некигāр						
великолепие	кар-ат фар						
величество	бузург, азрат				м		
величина	ɣуллаги м, доð						
велосипед	шайтẙнаробā, вилиспед				ж		
вена	рāг				ж		
венерическая болезнь	сӯзок				м		
венец	тоj				м		
веник	видӣрм				ж		
веничек	видӣрмак				ж		
венок	тоj				м		
веранда	дāлӣʒ м, вирāнда ж						
верба	рошт-wāнак				ж		
верблюд	x̌итур				м/ж		
верблюжий	x̌итуранд						
верещать	wаq:wаqт						
верзила	нархар						
верно	дируст, туɣри, ас-рост-аθ; (перен.) фāкт						
верность	wафо(дори), садоqат(манди)				м		
вероломный	беwафо, ɣаддор						
верста	чаqир(им)						
вертел	сêх				м		
вертлявый	фарош, пидфирāw						
вертушка	фур-фурāн(ак)				м/ж		
верующий	дӣндор, мӯмин						
верх	тӣр, тор, пāспати						
верхний	тӣр(ӣн)						
верховой	саwор(аjоw), б.тж. сиwор(jоw)						
верхом	саwор						
вес	wазн/м(ини)				м		
веселить	пишêw: пишêwт, хуш ч. (кин)						
весело	чоq						
весельчак	масqарабоз, базмгāр						
веселящий	дилнаwоз						
весенний	баори, буори						
весна	ба(h)ор ж, буор						
весной	баор(jев)						
веснушки	мангасак м, тофч				м		
веснушчатый	мангасакин						
весомый	wазмдор, wазмин						
вести	наɣ̌ʒимб: наɣ̌ʒимт, йос: йод						
вестник	хабаркун/кинӣj						
весь	фук(аθ), кулли, тамẙм, чакласт						
весьма	лап, wуч						
ветвистый	хêх-пардор, кишин						
веточка	хêx̌буц				м		
ветошь	лê/уqпар				м	собир.	
ветряной	боди, катаjẙн						
вечер	вегā, x̌ẙм(и)				м		
вечерами	вегаjев, x̌āбjев						
вечерком	x̌ẙмаки, веганӣнj-аθ						
вечернее	время x̌ẙми						
вечером	вегā, веганӣнj(аθ), x̌ẙм(аки), x̌āб						
вечно	умрибод, доим, ми/удẙм						
вешать	аwеʒ:аwеʒд	аwез: аwезд					
вешать	тāж: тӣжд						
вещевой мешок	туx̌адẙн				м		
вещица	чӣзак, кочорак						
веяльщик	сêр-дивениj				м		
веяние	дивенӣʒ				м		
веять	дивен:дивент						
взаим	боj				м		
взаимно	амдигар						
взаимные	приветствия jӯрпурси						
взаимоотношение	алоqā				м		
взаимопомощь	кирйāр, ашар				м		
взбалмошный	бесāр						
взбивание	x̌ебиʒ				м		
взваливать	патêw:патêwд; ш.тж. питêw: питêд						
взвешивать	тāж:тӣжд						
взгляд	назар; цем, чаx̌м						
вздор	бемāнӣги, бемазаги				м		
вздорный	бемāнӣ						
вздрагивать	сакц: сакцт, тип: тӣпт						
вздрагивая	жидаq(аст)						
вздутие	wарам						
вздутый	wарам, биɣ̌еðjин, б. биwеðjин						
взимать	зêз:зоx̌т, парjӣв: парjӯвд						
взимающий	зêзӣj, парjӣвӣj						
взлетать	риwāз: риwуx̌, риwаx̌т				ж		
взломщик	вираɣ̌ӣj	вираwӣj					
взмахивающий	x̌āпāр-зан						
взращеный	сойаги, сойаqā					(в тени)	
взрослые	хидāрā, бẙqā						
взрыв	бумбā						
взрывник	x̌ичêфӣj бумбаðāðӣj, пумбазан						
взрывник	x̌ичêфӣj бумба-ðāðӣj, пумбазан						
взъерошенный	циx̌, шап						
взыскание	jазо				м		
взятие	ижɣол				м		
взятка	порā				м		
взяточник	порахор, пора-зêзӣj						
взяточничество	порахори				м		
видевший	wӣнчин, дӣдā						
видение	wиниʒ						
