shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
aloqā́ čīdṓw	aloqa čidow												подковывать на две ноги	xu vōrǰ alōqā́ kinum я подковываю свою лошадь на две ноги.	
alṓw	alow												огонь		
alōwā́	alowa												прибавление, добавление		
alōyíd	aloyid,aloyida	alōyidā́											отдельный, особый, отделенный		
alōyíd čīdṓw	aloyid čidow												отделять, группировать, выделять		
alōyíd sittṓw	aloyid sittow												отделиться, выделиться, разделиться		
alqā́	alqa												петля, кольцо, завиток, круг; силок		
alqā́ čīdṓw	alqa čidow												натягивать (лук)	mu cankamůnák ́ik-dů́nd  γullā́ didi, ʒulik ōdám wam alqā́ čīdṓw na vār-ðēd мой лук так велик, что маленький человек его не сможет натянуть	
alqanǰak	alqanjak												мертвая петля (способ завязывания)		
alqissā́	alqissa												итак, наконец, короче говоря, словом	alqissā́ kitōbí gāp, āmmo māš mis ba ǰṓyi xêr alqissā́ lůvām alqissā́ книжное слово, но мы также говорим „alqissā́“ вместо „xêr“	
altṓy	altoy												помесь волка и собаки	mu kid altṓy kud-búc-i vūd моя сука принесла щенка от волка	
ālů́n	alun												объявление		
ālů́n čīdṓw	alun čidow												объявлять		
alwṓ	alwo												кисель		
alwů́n	alwun												пунцовый, красный ситец, кумач		
alyṓk	alyok												сыр		(=тадж. панир)
alγ̌anǰṓl	alγ̌anjol												слива		
alγṓw	alγow												супряга	yi x̌īǰ mund vid atā yí-ga x̌īǰ mu amsōyā́-nd vid, dað qatếθ wēv qatī́r čêríʒ kinā́m, ik-wí-ta alγṓw lů́vēn один бык был у меня, другой у моего соседа, и вот мы пашем на них вместе, это и называют alγṓw	 соединение двух или нескольких быков, принадлежащих разным хозяевам, для совместной пахоты или молотьбы
alγōwdák	alγowdak												род коршуна		
ām	am												и... и, как... так и		
am-digár	amdigar												взаимно, друг друга, один другого		
am-digár	amdigar,yakdigar	yak-digár											друг друга, взаимно		
ā́m-ga	amga												а также, тоже	γ̌inikḗn-ēn mis ōzṓd čū́d-at ā́m-ga tar maktáb-ēn wēv jalb čūd женщин тоже освободили и привлекли их в школы	
am-ǰíns	amjins												сверстник		
am-nů́m	amnum												одноименный, тезка	mā́š-ām am-nů́m: wi nům mu nům tīr мы тезки: его имя такое же, как мое	
am-radī́f	amradif												сверстник, ровесник	mu am-radī́f yi yṓraθ yů́dard nist у меня здесь нет сверстников; mu am-radī́f ōdamḗn-ēn γal ǰiwů́n, ā wúz-um pīr suðǰ мои сверстники еще молоды, а я уже состарился	
am-sabā́q	amsabaq												одноклассник, товарищ по школе		
am-tán	amtan												ровня, одной величины, одного роста	ðu nafár-and di wēv qād barōbár vud, wḗv-ta am-tán lů́vēn если два человека одинакового роста, то их называют „am- tán“	
amā́	ama												тетка		сестра отца
amagí	amagi												всё, все, всего; целиком, полностью	amagí yi wiðếd farq разница всего только в одну четверть; māš amagí yi fānd tīr as wi xu virṓd zīnā́m мы только какой-нибудь хитростью сможем убить своего брата (из сказки)	
amak	amak												дядя		брат отца
amal	amal												март; знак Овна		
amal	amal												чин, должность, занятие		
amaldṓr	amaldor												чиновник, должностное лицо		
āmáq	amaq												дурень, глупец, дурак		
ambax̌c	ambaxc,anbaxc	anbax̌c											арча, древовидный можжевельник; ель, елка		
ambax̌cín	ambaxcin,anbaxcin	anbax̌cín											арчевый, еловый	yam mu mōθ ambax̌cín эта моя палка еловая	
ambṓǰ	amboj												замена, замещение; вместо	wuz sā́wum, tu ambṓǰ kōr kinum я пойду поработаю вместо тебя	
ambṓr	ambor,anbor	anbṓr											зерно и мука, находящиеся в закромах	anbṓr yā́nen они мелют зерно (из закромов)	
ambůn	ambun,anbun	anbů́n											амбан, мера зерна, около 80 кг		(=4 kāfč)
ambúr	ambur,anbur	anbúr											щипцы, клещи		
amdṓd	amdod												помощь	a-rō yádēt, xu amsōyā́-rad amdṓd firếpūm, lāk, yu mis xu xōǰ māš qa- tī́r tayṓr kix̌t давайте поможем соседу, пусть он тоже вместе с нами окончит молотьбу. 	 (= yōrí)
amēx̌ā́	amexa												всегда		
amī́r	amir												эмир		
āmiyát	amiyat												 значение, важность		(нов.)
amkōniyát	amkoniyat												возможность		
amlā́	amla												нападение, натиск, атака; размах, взмах		
amlā́ čīdṓw	amla čidow												нападать, бросаться	yu wūrǰ mu tīr amlā́ čūd волк бросился на меня	
amlā́ ðêdṓw	amla ðedow												взмахивать руками при плавании	ðiyůn amlā́ ðêdṓw-ti-yi as x̌ač xu ziwṓst двумя взмахами он выбрался из воды	
amlṓ	amlo												орфография, правописание		
ámmō	ammo,amo	ámō											но, однако, все-таки		
ammů́m	ammum,amum	amů́m											баня		
amṓč	amoč												мучная похлебка с мелкими клецками; клецки		
amōčḗǰ	amočej												мука для приготовления мелких клецок		
amōǰák	amojak												род кустарникового растения, зола которого употребляется при изготовлении жевательного табака (нас)		
amōrát	amorat												здание, строение		
amōrat-xůnā́	amoratxuna												дворец		
amōyī́l	amoyil												перевязь, портупея, ремень или тесьма через плечо (для ружья или сабли)	amōyī́l wēðdṓw повесить на перевязи через плечо.	
amrṓ	amro,amroyen,amrogun											amrōyḗn, amrōgů́n	вместе, совместно; спутник, попутчик		
amrō sittṓw	amro sittow												присоединиться, соединиться		
amrōgí	amrogi,amroyi	amrōyí											совместность, сопутствие, сотрудничество		
amsōyā́	amsoya,amsoyagun											amsōyagů́n	сосед		
amsōyagí	amsoyagi												соседство, соседний	ik-dů́ndaθ-ta x̌iní as amsōyagí yḗl-and ́igů́n-ígů́n ́í-yōr pēx̌st слышно, как иногда из соседнего строения на летовье кто-нибудь спрашивает	
amů́n	amun												мир, безопасность		
amůnát	amunat												заем, ссуда; взаймы	mu čṓx̌t-i yōd amůnát xu, γál-i na vūγ̌ǰ он взял на время мои носилки и все еще не принес; yi cimū́d xund murd amůnát dāk xu, ðīd-mīd zếzum dakṓ одолжи мне свою корзину, я начну носить навоз	
amwṓr	amwor												ровный, гладкий, плоский		
ancā́v	ancav,ancuvd,ancivd,ancuvj,ancivdow			ancū́vd			ancī́vd	ancū́vǰ			ancīvdṓw		шить		1 ед. ancā́vum, сокр. ancā́m;2 мн. ancā́vēt, сокр. ancḗt; 3 мн. ancā́vēn, сокр. ancḗn; пов. ancā́v, сокр. anca
ancāvī́ǰ	ancavij												шьющий, швец, швея		
ancāvíʒ	ancaviʒ												шитье		
ancāvíʒ čīdṓw	ancaviʒ čidow												заниматься шитьем, шить	yámand  γ̌inikḗn-at čōrikḗn ancāvíʒ kinḗn там женщины и мужчины занимаются шитьем	
andák	andak												немного	andák wáxt-and-aθ в короткое время	
andếγ	andeγ												твердый, неподвижный, окоченевший	andếγaθ mā niθ, kōr kin не сиди неподвижно, а поработай	
andíʒ, andíz	andiʒ,andiz,anduyd,andoyd,andizd,anduyj,andic,andoyj,andidow			andū́yd	āndṓyd		andī́zd	andū́yǰ	andī́c, andṓyǰ		andīdōw		вставать, подниматься	as xu ǰṓy-ti andīdṓw вставать с места	
andōzā́	andoza												мера, мерка, образец; выкройка		
andů́m	andum												тело, туловище, стан: орган тела	pibīzg — yi andů́m мочевой пузырь — это орган (тела)	
Andustů́n	Andustun												Индия		
andů́z	anduz,anduʒ,anduzd,anduzd,anduzj,anduzdow	andů́ʒ		andů́zd			andů́zd	andů́zǰ			andůzdṓw		будить, поднимать		
angáxc	angaxc,angaxt,angixt,angaxst,angaxč,angixč,angaxtow,angixtow			angáxt, angíxt			angáxst	angáxč, angíxč			angaxtṓw, angixtṓw		застревать, попадать, вонзаться; заикаться, запинаться	wuz γal wurusí ziv tīr angáxcum я еще запинаюсь, когда говорю по-русски	
angaxcī́ǰ	angaxcij												заика		
angíx̌t	angixt,anguxt	angúx̌t											палец	γāfc angíxt, xi-dā́r angíx̌t большой палец; ðakī- ǰák angíx̌t указательный палец; miyůnā́ angíx̌t, miðēnā́ angíx̌t средний палец; pis-ʒalík angíx̌- taθ, pis-lakák angíx̌taθ безымянный палец; ʒalík angíx̌t, lakák angíx̌t мизинец	
angíx̌t-můk	angixtmuk												наперсток		
angix̌t-růn	angixtrun,anguxtrun	angúx̌t-růn											строительная глина (называемая так потому, что ее размазывают по стене пальцами)		
angū́rð	angurð												виноград		
anǰáfc	anjafc,anjuvd,anjafst			anǰū́vd			anǰáfst						приниматься, браться	di-nyō-ta šič anǰáfst! сейчас пойдет дождь!	
anǰā́n	anjan												захват — тальниковая длинная петля, прикрепляемая к рукоятке деревянной лопаты (fay), чтобы облегчить выбрасывание выкапываемой земли или снега		
anǰā́v	anjav,anjuvd,anjivd,anjivdow			anǰū́vd			anǰī́vd				anǰīvdṓw		держать, приобретать, овладевать, брать, ловить	pi Xōx̌darā́ yu sut γ̌in anǰī́vd он отправился жениться в Шахдару	1 ед. anǰā́vum, сокр. anǰā́m; 2 мн. anǰā́vēt, сокр. anǰḗt; 3 мн. anǰā́vēn, сокр. anǰḗn; пов. anǰā́v, сокр. anǰa
anǰinḗr	anjiner												инженер		(нов.)
anǰī́r	anjir												винная ягода, инжир, фига		
anǰūvǰín	anjuvjin												захваченный, пойманный		
anṓq	anoq												ровный, гладкий, без сучков (о дереве, палке)		
anṓr	anor												гранат		
anʒíc	anʒic												глиняное вместилище для хранения орехов, сушеных абрикосов и т. п. (обычно делается из старой маслобойки)	mā́š-ām xu paγ̌nī́ʒ xurd anʒíc čūd мы сделаем себе из маслобойки посудину для сухих абрикосов	
anʒů́m	anʒum,anʒem		anʒḗm										годовалый баран (до двух лет)		
aprḗl	aprel												апрель		(нов.)
aq	aq												истина, правда, справедливость; право, собственность	aq tu salů́m na vēd — luq- máyi xům tu kinúm если не будет твоего приветствия — растерзаю тебя	
aq ðêdṓw	aq ðedow												радеть, повторяя много раз слово „aq“;		
aq ðêdṓw	aq ðedow												расплачиваться, платить причитающееся	yu mu aq na ðōd он со мной не расплатился	
aqếq	aqeq												большая бусина или медальон в центре ожерелья		
aqêqát	aqeqat,aqiqat	aqiqát											истина, правда, справедливость, действительность		
aqêqatán	aqeqatan,aqiqatan	aqiqatán											действительно, на самом деле, в действительности, поистине		
aqêqí	aqeqi,aqiqi	aqiqí											действительный, настоящий, истинный, подлинный		
áqi azōgí	aqi azogi												членский взнос		
aqilā́	aqila,aqla	aqlā́											трудный, опасный	yam půnd lápaθ aq(i)lā эта дорога очень трудная	
áqli	aqli												ум, разум, рассудок		
aqlidṓr	aqlidor												умный, рассудительный		
aqlī́m	aqlim												климатический пояс, зона		
aqṓb	aqob												орел		
aqōrát	aqorat												ругань, оскорбление, издевательство		
aqōrát čīdṓw	aqorat čidow												бранить, оскорблять, ругать		
aqōratgár	aqoratgar												оскорбитель, ругатель		
aqrṓr	aqror												признание, сознание		
aqrṓr yattṓw	aqror yattow												сознаваться	biyór-ard aqrṓr yat вчера он сознался	
aqsā́	aqsa												чиханье		
aqsā́ ðêdṓw	aqsa ðedow												чихать		
aqsaqṓl	aqsaqol												аксакал, сельский староста		
ar	ar												предлог, выражающий направление вниз, нахождение внизу	wuz ar x̌ac zibánum я прыгну в воду; wā́ð-en ar tagṓv xāvd они спустились вниз; māš ar tagṓv pi tamá níθam мы подождем вас внизу; ar tu xēz sā́wum пойду к тебе (вниз); ar Rix̌ůn lap gārm в Рушане очень жарко; ar xu čīd дома (внизу); ar kā? куда? где?	
ar-cůndca	arcundca,arcund	ar-cůnd											несмотря на.. сколько бы ни.		
ár-di	ardi												как, как только, коль скоро, когда ни..	falůni ár-di qīmb mūn tīr wēðd atā, yā mūn ik-důnd razd didi! как только он бросил камнем в яблоню, яблоки как посыплются! ár-dī-m tar wi xēz ca yat, yu murd mêmůní čū́d-i когда только я ни приходил к нему, он меня угощал; ár-di pōyga-di- wḗnt sůd atā, mu vōrǰ pirṓ ðēd когда бывают скачки, моя лошадь идет впереди	
ar-gůn	argun												как только, коль скоро	ar-gůn ar-tām vō murd xāt ca kix̌t... как только кто-нибудь мне опять напишет...	
ar-ǰṓ	arjo												везде, повсюду, повсеместно, где бы ни.		
ar-mḗθ	armeθ,armeθaθ,armeθaki,armeθa	ar-mḗθ-aθ,ar-mēθaki,ar-mēθā											ежедневно, каждый день		
ar-rā́ng	arrang												всякого рода, всевозможный, какой бы ни.		
ar-rā́ng-ca	arrangca												как-то, что-то	yā γ̌iník ar-rā́ng-ca tar xu čōr bad čōst; ca mḗθ-ga as xu čōr ca na nax̌tī́zd, aǰáb-i та женщина что-то плохо относится к своему мужу; удивительно, если она через несколько дней не уйдет от него;yu γiðā ar-rā́ng-ca as x̌inōwarí na yat, či x̌ác-ga sůd xu ik-důnd! тот мальчишка что-то не возвращается с купанья, как бы он не утонул! nur ar-rāng-ca gāp ðêd murd na fōrt сегодня мне как-то не хочется разговаривать	
ar-tān	artan												всякий, каждый, кто бы ни..	ar-tān mu xāt ca x̌ōyd всякий, кто прочтет мое письмо	
ar-xēl	arxel												всякого рода, всевозможный, какой бы ни		
ar... ca	ar... ca												всякий, каждый, какой бы ни..., кто бы ни...		
ara-vī́r	aravir												все трое	falůní-nd-ēn aráy puc vad, ara-vī́r-ēn x̌ōyíʒ sat у такого-то было три сына, все трое уехали учиться	
arabí	arabi												по-арабски, арабский		
arakát	arakat												движение, стремление	деятельность	
arakát čīdṓw	arakat čidow												стараться, двигаться, стремиться		
arakatdṓr	arakatdor												деятельный, энергичный		
arám	aram												там внизу, туда вниз		
arā́q	araq												пот		
arā́q	araq												водка, спирт		
aráy	aray,ara	ará											три, трое		
arayí	arayi												трехдневка, третий день; по-три, по-трое;		
arayúm	arayum												третий		
arbí	arbi												военный, воинский		
arbṓb	arbob												помощник сельского старосты		
arðůnǰák	arðunjak												веснушки		
arēd	ared												здесь, сюда; там (внизу), туда (вниз) (о предметах среднего удаления)		
arf	arf												буква		
argíz	argiz												никогда		
arhár	arhar,arar	arár											тополь (пирамидальный)		
arīzā́	ariza												заявление, прошение, жалоба		
arī́žm	arižm												сажа		
armaní	armani												армянин		
armůn	armun												неисполнимое желание, тоска; увы!		
arōbā́	aroba												арба, телега, повозка		
arqā́	arqa												верхняя часть спины		
arrā́	arra												пила		
arrā́ ðêdṓw	arra ðedow												пилить		
arrā́ ðêdṓw	arra ðedow												пилить		
arrā tīždṓw	arra tiždow												пилить		
arrakax̌	arrakax,arratažij	arra-tāžī́ǰ											пильщик	a-rō, falůní puc lap bašā́nd arrakáx̌ сын такого-то очень хороший пильщик	
arrā́z	arraz,arruxt,arraxt,arrozd,arruxč,arrixc,arraxč,arrixtow			arrúx̌t	arráx̌t		arrōzd	arrux̌č	arrix̌c, arrax̌č		arrix̌tṓw		подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы	vōrǰḗn-ēn ðêd sat xu, yak digár tṓr-ad-ēn arráx̌t лошади стали драться и вздыбились друг на дружку; pi wam ōlbōlí ců́nd-i arrúx̌t, wi qād padam na firī́pt он как ни старался дотянуться до вишен, его рост не позволял ему этого; pi wam qādík-um arrúx̌t я на нее устремился	 1 ед. arrā́zum
artḗl	artel												артель		(нов.)
arů́d	arud												здесь (внизу), сюда (вниз)		
arů́m	arum												запрещенный, поганый, греховный		
arům-zōdā́	arumzoda												незаконнорожденный, внебрачный		
arwṓ	arwo,arwoyen,arwogun											arwōyḗn, arwōgů́n	дух, душа умершего		
arz	arz												заявление, доклад, жалоба		
arz(-at dōð) čīdṓw	arz(at doð) čidow												жаловаться		
arzat dōð	arzat doð												жаловаться		
arzů́n	arzun												дешевый, доступный, нередкий		
arzůní	arzuni												дешевизна, доступность; изобилие	šič mā́š-and arzůní, fuk čī́zaθ yast сейчас у нас изобилие всё есть	
arγúnd	arγund												помесь яка (кутаса) и коровы		
arθ́m	arθm												снежная пыль, появляющаяся перед снежным обвалом		
as	as,az	az											предлог, выражающий удаление, отделение, причину, сравнение, отношение; объект; из, от, через, вследствие, чем	"as qabal- ǰōgā́-ndīr изнутри загона; as ōzō- dī́ mārū́m sitṓw быть лишенным свободы; as wí-yi lůd: „sifā́n pi dam nêx“ она сказала ему: „подымайся на эти нары""; tu virṓd yōðd, as wi lův, yú-ta turd piðṓ kix̌t твой брат придет, ты ему скажи, он и достанет тебе; mu yax as mu ǰāldí моя сестра моложе меня; as fuk bīdí самый лучший, лучше всех; as fuk kāmdí наименьший; меньше всего, минимум; x̌itúm as xōrpúx̌t-i wīnt xu, lů́d-i... заяц увидел ежа и сказал. ..; bōyḗn-ēn xu ukūmát wáxt- and as kōrgarḗn zulm ču капиталисты во время своего господства угнетали рабочих; civī́nc az ōdám žirī́γ̌d оса жалит людей; rimṓd pis amsōyagů́n as xu puc (он) послал своего сына за соседями; ik-dí-ǰāt as wi x̌ūʒ-xōrák lůvēn потому-то ее (эту птицу) и зовут буревестник; as xu dilsuz čāyík rinếst... (поэтич.) кто забывает свою милую...; as.. .-ti с (предлог): as xêx̌-ti с ветвей; в многочисленных сложениях и сочетаниях; "	
as bā́hri	as bahri												для, ради	as bā́hri xuðṓy ради бога	(поэтич.)
as bōbáti	as bobati												относительно, в отношении	ar bōbát-and-aθ во всех отношениях	
as dásti	as dasti,as dast	as dást											по причине, вследствие, для, ради		
as dāsti	as dasti												но причине, вследствие		
as ǰaháti	as jahati												для, ради, по причине		(поэтич.)
as kā	as ka												откуда		
as kā́laθ	as kalaθ												сначала		
as naw	as naw												снова, вновь		
as qāstá-kaθ	as qastakaθ												нарочно, вымышленно		
as qāstákaθ	as qastakaθ												нарочно, вымышленно	qiðā́ nī́wd-i xu, dað wi nān  as qāstákaθ lů́di: „a-ða, mā nāw, ar-gůn ča nā́wi, kud tu pirḗnt“ мальчик заплакал, и его мать ему нарочно сказала: „не плачь, а то собака тебя укусит”	
as sabábi	as sababi												по причине		
as tīr	as tir												сверху		
as vaǰ	as vaj												снаружи		
as wi sārůní	as wi saruni												рано утром	as wi sārůni-yām andōyd xu vō-yām rawůn sat рано утром мы встали и вновь пустились в путь	
as xusū́si	as xususi												относительно, в отношении, о, об		
as-bār čīdṓw	asbar čidow												учить наизусть		
as-bārakí	asbaraki,asbar	as-bār											наизусть, на память	yu ik-důnd lap sōz as-bār yast didi, dalī́l nay он знает так много песен, что мочи нет	
as-bārakí  lůvdṓw	asbaraki  luvdow												диктовать	núr-i māš ōxů́n mā́šard as-bārakí lůd сегодня наш учитель устраивал нам диктовку	
as-bārakí nivištṓw	asbaraki nivištow												писать под диктовку		
as-barṓyi	asbaroyi												для, ради, вследствие, по причине, чтобы		
as-bīr	asbir												снизу		
